,Area,equivalent_diameter,orientation,MajorAxisLength,MinorAxisLength,Perimeter,MinIntensity,MeanIntensity,MaxIntensity
1,6.955000000000001,2.975799226028708,-11.220678872685172,4.5352200641667695,2.0978112429119213,11.721320343559643,189.0,203.89683680805177,214.0
2,1.4450000000000003,1.3564037533648712,-85.55818234880985,4.317136546026622,0.5977027112454824,8.484924240491749,178.0,206.5865051903114,217.0
3,721.6075000000002,30.311370882516663,-52.4936259537961,55.52669967479043,33.982389628292964,1083.2492021565256,173.0,213.18207266415607,255.0
4,1.4750000000000003,1.3704117368456696,86.17180023368508,1.8127703607953052,1.0767031373715747,4.921015510839149,196.0,211.90338983050847,222.0
5,3.1225000000000005,1.993913357805586,81.73046925391888,3.548410543903255,1.34302620391139,9.164518395093591,193.0,211.04483586869495,238.0
6,0.0025000000000000005,0.05641895835477563,45.00001609038752,0.0,0.0,0.0,232.0,232.0,232.0
7,2.8075000000000006,1.8906665549070174,-80.64338646977004,3.3158667413637817,1.152268351965868,8.20918830920368,190.0,208.18699910952805,235.0
8,1.0200000000000002,1.1396070970426018,89.65291852195574,1.737180773826227,0.9038231830437286,4.879898987322333,189.0,202.80392156862746,213.0
9,0.5075000000000001,0.8038464212479242,-76.4120162015906,1.128614424523229,0.5933225188383121,2.8710155108391486,179.0,203.76354679802955,218.0
10,2.4800000000000004,1.7769732893161914,-86.53909884345815,3.647071299694193,0.9749448465798016,8.450304832720494,186.0,208.57459677419354,222.0
11,2.8825000000000007,1.9157538953892557,-77.12566966268119,2.9644666602783354,1.3592089794075253,8.828731957466685,184.0,208.36947094535992,226.0
12,2.3475000000000006,1.7288521716057144,-76.52695364132188,3.2389184269954727,1.0962268728592428,8.45802127934803,183.0,202.86581469648561,219.0
13,0.0025000000000000005,0.05641895835477563,45.00001609038752,0.0,0.0,0.0,192.0,192.0,192.0
14,34.222500000000004,6.601018127508749,-21.963277293579427,8.707377271887372,6.968135666514432,55.54249275747776,176.0,209.71130104463438,234.0
15,18.872500000000002,4.901960149574286,70.16589492623893,5.2582708558756055,5.112337969157664,22.2456367132979,174.0,211.0026493575308,223.0
16,1.3375000000000004,1.3049742875180648,38.78348171892913,2.1620742386018974,0.8481493916035125,5.504467888754756,191.0,215.51401869158877,236.0
17,4.505000000000001,2.394983120824009,-41.18761809767099,4.704626101087662,1.5132445071031082,11.791168824543142,188.0,208.19311875693674,237.0
18,0.30750000000000005,0.6257165172872318,-68.62446136589723,0.702822477112753,0.5642210654209601,2.060660171779821,180.0,211.0731707317073,227.0
19,5.917500000000001,2.7448852445904413,42.995375500599465,3.1579366017055297,2.62384191260497,11.277564927611039,196.0,220.16899028305872,241.0
20,0.4725000000000001,0.7756324418739616,24.15058450622487,1.0611003787093043,0.6598566916141297,3.0295941546018392,183.0,205.79365079365078,217.0
21,24.482500000000005,5.5831968578923155,-79.65142855586512,10.238392573690197,3.8534599260268574,44.93152775297746,176.0,207.67098948228326,233.0
22,11.925000000000002,3.8965858865122964,15.315402404741072,9.746622049154215,3.2102503044623187,29.30421535706059,176.0,210.04423480083858,234.0
23,0.07,0.29854106607209235,84.26526496379505,0.408237591542012,0.22739704437558741,0.9224873734152917,187.0,201.28571428571428,213.0
24,1.5125000000000004,1.3877228871110883,64.12487642259602,1.6934291690746268,1.187137824769712,5.4370057685088815,186.0,220.23305785123966,242.0
25,0.5775000000000001,0.8574939283076916,-71.7141339086731,1.4504195149383774,0.539773366383226,3.38492424049175,188.0,207.6060606060606,222.0
26,0.24750000000000005,0.5613615477764332,-33.78391527043239,0.7604946234714589,0.4363135188091167,1.9485281374238572,193.0,213.64646464646464,230.0
27,2.2175000000000002,1.6803001786735081,-27.783775946805807,2.144759207727235,1.444598242726349,6.281980515339464,187.0,212.86358511837656,224.0
28,35.38250000000001,6.71195934072845,-13.112763689658529,9.78617267510859,4.947640909405298,31.71670452516337,180.0,216.72613580159683,238.0
29,9.127500000000001,3.409031232560095,-22.370078854513867,4.311006975983839,3.501553398249346,27.32081528017131,174.0,208.86222952615722,237.0
30,64.30250000000001,9.04834160635709,5.101022489630241,17.813905652702456,7.1851320230188485,114.7287932319305,173.0,205.54060884102483,236.0
