Grain #,,Area,equivalent_diameter,orientation,MajorAxisLength,MinorAxisLength,Perimeter,MinIntensity,MeanIntensity,MaxIntensity
1,,127.35000000000002,12.73369765708386,-82.12610584046472,58.75027701407077,42.451161874882345,980.6021802358293,0.0,137.14473890851983,255.0
2,,6.942500000000002,2.9731238688160753,-11.310055951953846,4.5077245523719105,2.109217159200753,11.83345237791561,150.0,202.98919697515305,214.0
3,,1.5850000000000004,1.4205930727710991,-86.01095149320292,4.44503022613421,0.5988418173122894,8.82634559672906,123.0,201.56940063091483,217.0
4,,20.632500000000004,5.125438020964476,17.76432002180928,8.413968607820753,3.851853745321257,25.68264248180678,79.0,207.12916515206592,228.0
5,,1.5275000000000003,1.3945871807036523,86.16743036839398,1.8872445704411611,1.074256189800276,5.072792206135786,145.0,210.25040916530278,222.0
6,,31.870000000000005,6.370097667281848,-77.59673353522274,8.063668865432858,5.874365300264341,35.40812588140068,66.0,208.39174772513334,227.0
7,,38.41250000000001,6.993447934469767,77.24748206952216,9.747152883840272,5.497028185534131,36.21259377015544,90.0,210.34526521314677,233.0
8,,3.170000000000001,2.0090219901261572,82.22235266831163,3.5925396021350644,1.346948779779265,9.218071785686865,168.0,210.4621451104101,238.0
9,,3.0650000000000004,1.9754693631168452,85.88941602570685,2.4077240649468683,1.7370945762596397,7.774873734152917,102.0,210.86867862969004,226.0
10,,3.0000000000000004,1.9544100476116797,-82.25951775145248,3.543483939762969,1.1536308680652698,8.80416305603426,94.0,205.215,235.0
11,,1.1400000000000001,1.2047792665040704,89.6900821239868,1.8312860676480385,0.9382016440486325,5.079898987322333,153.0,199.36184210526315,213.0
12,,64.29500000000002,9.047813908826114,-85.29734647776732,18.095052023350473,5.571566944875222,59.24787514439401,63.0,209.19426082899136,242.0
13,,1.2000000000000002,1.2360774464742068,84.407871823814,1.995166690039697,0.832113159078496,5.3417261889578045,147.0,206.68333333333334,219.0
14,,1.3375000000000004,1.3049742875180648,78.1506203077449,1.8339384205932807,1.0010499394931929,5.388477631085024,147.0,205.94018691588786,221.0
15,,2.5900000000000003,1.8159544104586083,-86.57555061694171,2.788775833325605,1.2212869877428214,7.021320343559641,149.0,196.90057915057915,213.0
16,,3.6625000000000005,2.159453595841442,-80.0932603568585,3.134079609380549,1.5391280189745684,8.41659992311072,92.0,201.23754266211603,243.0
17,,21.267500000000005,5.203712330409424,68.95969902040623,5.935738945113076,4.608792889908475,19.9234541726031,90.0,210.0737040084636,227.0
18,,3.025000000000001,1.9625365277680484,-79.6218399905563,3.438436157005084,1.2755931515917096,9.14619407771256,94.0,196.10578512396694,219.0
19,,16.337500000000002,4.560871743659399,-77.27745052913271,6.796111272173153,3.36314072316568,19.588529932111353,93.0,202.60550879877582,235.0
20,,0.8425000000000001,1.0357143990692486,-76.59141359882668,1.377741554192301,0.8713971463595048,4.502386360737625,148.0,205.61721068249258,220.0
21,,24.915000000000006,5.63229644612893,9.722740043729756,9.184455042221975,4.280144157037632,29.790054095713824,108.0,208.00883002207505,227.0
22,,20.875000000000004,5.155470443746771,-63.88578914210848,5.519807504067179,5.190228963384572,21.483504678941937,122.0,207.80646706586828,223.0
23,,5.9075000000000015,2.7425649692437504,41.59818015283867,4.159091592596004,1.8735451471374998,12.659240610230006,81.0,206.83241641980533,228.0
24,,5.280000000000001,2.59281792577143,-40.13536311921478,4.853208625253244,1.6815567077771547,12.14827560572969,113.0,204.57149621212122,237.0
25,,4.9125000000000005,2.500957669276209,-85.15654284400622,2.9468852962984027,2.3097638175257784,11.287920266670364,82.0,200.40152671755726,220.0
26,,69.44750000000002,9.403366593034391,79.39365937226977,13.07196000354518,8.388515677276551,60.63990616607231,76.0,208.44252852874473,231.0
27,,17.677500000000002,4.744227234445652,-67.68572606443554,6.139473896969794,4.066359392071997,22.80365799264593,70.0,208.26545043133927,239.0
28,,6.735000000000001,2.928355909685727,22.07006875900777,4.413183926431483,2.113235937125992,12.696803743153549,86.0,200.5066815144766,218.0
29,,6.885000000000002,2.9607860891157936,38.335857275461244,3.447518888463391,2.728483442119389,11.776093065034893,71.0,213.87799564270153,240.0
30,,1.3775000000000002,1.324344167077685,62.208540728302715,1.4916119531648984,1.3451109413170168,6.090559159102154,69.0,208.37023593466424,237.0
31,,5.412500000000001,2.6251493359195908,-11.34487994719781,3.418639275761966,2.2246269705243122,12.091473657263636,113.0,209.00646651270208,232.0
32,,1.7775000000000003,1.5043880120390325,2.6522155017628952,3.0125593218940137,0.8940884519080283,7.319543648263006,128.0,201.55414908579465,234.0
33,,18.787500000000005,4.890908703575633,-22.425850328816303,8.61212094170059,3.3266674486757246,28.14213562373095,74.0,204.9282767797738,223.0
34,,1.1125000000000003,1.1901592303208293,-71.15547205690913,1.4182816904584055,1.1525881189628862,5.414823227814083,80.0,199.7325842696629,220.0
35,,2.4850000000000003,1.7787636910694122,75.48778635394152,2.324310139187258,1.5523138511282917,8.40802127934803,135.0,207.21629778672033,228.0
36,,49.50250000000001,7.939051616109596,12.673582187304827,11.011587586463547,8.396319229149466,51.82685963355487,90.0,215.97272865006818,239.0
37,,2.6800000000000006,1.847236308621676,-58.09556165831649,2.2743411391022965,1.559098119096974,7.081980515339464,102.0,205.17444029850745,228.0
38,,26.232500000000005,5.779295489699861,-80.93968164867444,10.312791475433905,3.830697597506984,32.98949673129916,68.0,202.4883255503669,226.0
39,,1.8675000000000004,1.542003518087075,37.88942425095612,2.0936049333195363,1.1789844204630404,6.315128060534577,83.0,198.24230254350735,225.0
40,,26.057500000000005,5.759986062217209,55.30006386094916,9.68387316378297,4.648922415948288,36.62797436238418,64.0,209.43461575362178,232.0
41,,1.7950000000000004,1.5117754405994355,27.73409946721797,1.9695457234380624,1.2256646870437917,5.828427124746191,105.0,200.6824512534819,222.0
42,,1.5850000000000004,1.4205930727710991,-31.8188898802545,1.6138056535852776,1.41389017319635,6.704467888754755,177.0,208.10094637223975,219.0
43,,2.5275000000000003,1.7939099613186062,0.5273839755573487,4.92220412538002,0.6747936670338992,9.921015510839151,176.0,205.26607319485657,217.0
44,,4.740000000000001,2.4566553364370574,-62.97152299363735,3.672199904609879,1.8141432928480776,11.451828996322964,70.0,209.02320675105486,228.0
45,,1.3850000000000002,1.3279445656570914,-89.85963609137971,1.6745340785449547,1.2113442535617915,5.933757210636101,96.0,214.48194945848377,242.0
46,,4.0375000000000005,2.267312210937925,-57.29638076450574,3.8761370748561585,1.3822010147212416,10.650052301026328,83.0,207.10897832817338,225.0
47,,0.4175000000000001,0.7290936221960322,-78.8226348898245,0.9826730149112051,0.5852150558643204,2.752081528017131,114.0,208.7245508982036,230.0
48,,2.3500000000000005,1.7297725082009,-50.972151769296374,2.1370942556763053,1.577379764065336,7.4819805153394645,67.0,205.72659574468085,218.0
49,,3.0725000000000007,1.977884855394466,-5.1164028504213634,2.4524470632327815,1.7341140742926677,8.066904755831215,108.0,205.07078925956063,228.0
50,,1.0550000000000002,1.1589942707777279,80.53084937070162,1.5371972008895538,0.9325658253584272,4.537005768508881,138.0,204.1042654028436,222.0
51,,2.9300000000000006,1.9314740138231288,-24.259212291884264,3.687018843631578,1.1536734006785934,9.101219330881976,116.0,203.65529010238907,225.0
52,,2.7925000000000004,1.8856090338861187,-25.761857431495873,2.2790722934135252,1.683754093486863,7.106244584051392,99.0,204.93554162936437,224.0
53,,1.3975000000000002,1.333923634908457,-12.302756315828315,1.780722776694174,1.0728458530702203,5.216295090390226,102.0,197.08944543828264,230.0
54,,37.96750000000001,6.952821183859995,-13.318204417523901,10.033444662012485,5.144694831227264,30.79629867976521,82.0,213.85329558174755,240.0
55,,4.2475000000000005,2.3255289648298523,74.30119225078604,2.79220291444591,2.011424779083747,9.206549416771887,102.0,211.08828722778105,232.0
56,,0.015000000000000003,0.1381976597885342,-80.53770658936206,0.223606797749979,0.09428090415820634,0.3207106781186548,202.0,210.5,215.0
57,,1.9125000000000003,1.5604712843580297,72.71353960195825,2.067685550951301,1.279780636279898,6.937310601229375,109.0,206.7450980392157,227.0
58,,0.13250000000000003,0.4107362166615078,87.44227795468677,0.5812272795863733,0.31040411202361784,1.4449747468305834,209.0,215.56603773584905,227.0
59,,0.5225000000000001,0.8156394191823509,-36.14830492223065,1.2030419569348352,0.6569594755863359,3.607411613907042,166.0,213.17703349282297,225.0
60,,2.4450000000000003,1.764389607449974,39.09571828365104,2.3965411909463645,1.4333935875374089,7.323706704297269,92.0,205.50613496932516,234.0
61,,0.6650000000000001,0.9201653640780463,6.537783119182867,1.0193642403782242,0.8645004423841631,3.467766952966369,82.0,207.24812030075188,226.0
62,,0.6975000000000001,0.9423823971471328,-3.2526816798317513,1.2001157988061704,0.8729749987528962,4.119543648263006,127.0,203.17562724014337,218.0
63,,0.5975000000000001,0.8722159296752494,22.187011017020435,1.3997035220782783,0.7199854948525526,4.116295090390227,117.0,203.7071129707113,220.0
64,,4.322500000000001,2.345970573583083,74.52053568870024,2.789367753668423,2.0807418676454894,10.86720958855171,126.0,208.15442452284557,232.0
65,,0.21750000000000005,0.5262410103554245,-70.15286947517971,0.6531039903961502,0.5030075014048422,2.131370849898476,177.0,207.71264367816093,216.0
66,,2.6775000000000007,1.8463745234996065,25.11246252833459,2.8402586142937674,1.5842402487634915,10.396194077712561,123.0,193.56676003734827,218.0
67,,10.825000000000003,3.712521794112209,-43.14681895193196,4.3416501372764955,3.2588372241517534,14.604215357060589,91.0,203.69237875288684,233.0
68,,0.0025000000000000005,0.05641895835477563,45.00001609038752,0.0,0.0,0.0,204.0,204.0,204.0
69,,0.5575000000000001,0.842514715711158,-6.625115698374247,1.1906189687890911,0.809488040614761,3.874873734152916,157.0,202.15695067264573,212.0
